Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
2	61	C:\Hannah's FYP\White9_neu.jpg	romance	2	forehead	2		212	635	2	0
2	62	C:\Hannah's FYP\Black15_neu.jpg	garbage	1	forehead	1		111	730	1	0
2	63	C:\Hannah's FYP\Black18_neu.jpg	cockroach	1	forehead	1		111	613	1	0
2	64	C:\Hannah's FYP\White16_neu.jpg	pest	2	forehead	1		211	629	1	0
2	65	C:\Hannah's FYP\Black6_neu.jpg	despair	1	forehead	1		111	596	1	0
2	66	C:\Hannah's FYP\White4_neu.jpg	beauty	2	forehead	2		212	676	2	0
2	67	C:\Hannah's FYP\White5_neu.jpg	garbage	2	forehead	1		211	906	1	0
2	68	C:\Hannah's FYP\Black7_neu.jpg	vomit	1	forehead	1		111	603	1	0
2	69	C:\Hannah's FYP\White16_neu.jpg	success	2	forehead	2		212	683	2	0
2	70	C:\Hannah's FYP\White21_neu.jpg	sewage	2	forehead	1		211	757	1	0
2	71	C:\Hannah's FYP\Black6_neu.jpg	vacation	1	forehead	2		112	543	2	0
2	72	C:\Hannah's FYP\White23_neu.jpg	beauty	2	forehead	2		212	902	2	0
2	73	C:\Hannah's FYP\White7_neu.jpg	poison	2	forehead	1		211	618	1	0
2	74	C:\Hannah's FYP\Black2_neu.jpg	beauty	1	forehead	2		112	497	2	0
2	75	C:\Hannah's FYP\Black10_neu.jpg	smile	1	forehead	2		112	639	2	0
2	76	C:\Hannah's FYP\Black19_neu.jpg	romance	1	forehead	2		112	582	2	0
2	77	C:\Hannah's FYP\Black4_neu.jpg	sewage	1	forehead	1		111	888	1	0
2	78	C:\Hannah's FYP\White10_neu.jpg	pest	2	forehead	1		211	868	1	0
2	79	C:\Hannah's FYP\Black15_neu.jpg	joy	1	forehead	2		112	801	2	0
2	80	C:\Hannah's FYP\Black18_neu.jpg	paradise	1	forehead	2		112	1593	2	0
2	81	C:\Hannah's FYP\Black24_neu.jpg	sewage	1	forehead	1		111	1004	1	0
2	82	C:\Hannah's FYP\Black21_neu.jpg	paradise	1	forehead	2		112	1375	2	0
2	83	C:\Hannah's FYP\Black1_neu.jpg	pest	1	forehead	1		111	799	1	0
2	84	C:\Hannah's FYP\White16_neu.jpg	despair	2	forehead	1		211	1295	1	0
2	85	C:\Hannah's FYP\White17_neu.jpg	vomit	2	forehead	1		211	1858	1	0
2	86	C:\Hannah's FYP\Black14_neu.jpg	romance	1	forehead	2		112	861	2	0
2	87	C:\Hannah's FYP\White11_neu.jpg	love	2	forehead	2		212	698	2	0
2	88	C:\Hannah's FYP\White6_neu.jpg	beauty	2	forehead	2		212	463	2	0
2	89	C:\Hannah's FYP\Black12_neu.jpg	vomit	1	forehead	1		111	998	1	0
2	90	C:\Hannah's FYP\White19_neu.jpg	love	2	forehead	2		212	747	2	0
2	91	C:\Hannah's FYP\White3_neu.jpg	success	2	forehead	2		212	1149	2	0
2	92	C:\Hannah's FYP\Black20_neu.jpg	joy	1	forehead	2		112	610	2	0
2	93	C:\Hannah's FYP\White12_neu.jpg	cockroach	2	forehead	1		211	738	1	0
2	94	C:\Hannah's FYP\Black14_neu.jpg	sewage	1	forehead	1		111	652	1	0
2	95	C:\Hannah's FYP\Black22_neu.jpg	vomit	1	forehead	1		111	592	1	0
2	96	C:\Hannah's FYP\White12_neu.jpg	beauty	2	forehead	2		212	641	2	0
2	97	C:\Hannah's FYP\White13_neu.jpg	paradise	2	forehead	2		212	640	2	0
2	98	C:\Hannah's FYP\White8_neu.jpg	sewage	2	forehead	1		211	1495	1	0
2	99	C:\Hannah's FYP\Black23_neu.jpg	smile	1	forehead	2		112	502	2	0
