Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
1	1		despair			1			3070	1	
1	2		vomit			1			1060	1	
1	3		smile			2			720	2	
1	4		vacation			2			834	2	
1	5		sewage			1			1407	1	
1	6		paradise			2			716	2	
1	7		success			2			751	2	
1	8		smile			2			600	2	
1	9		vomit			1			680	1	
1	10		romance			2			1412	2	
1	11		joy			2			633	2	
1	12		disgust			1			696	1	
1	13		love			2			579	2	
1	14		poison			1			668	1	
1	15		romance			2			1320	2	
1	16		sewage			1			721	1	
1	17		pest			1			899	1	
1	18		beauty			2			782	2	
1	19		vacation			2			830	2	
1	20		joy			2			620	2	
1	21		cockroach			1			715	1	
1	22		garbage			1			878	1	
1	23		success			2			769	2	
1	24		poison			1			665	1	
1	25		despair			1			1654	1	
1	26		paradise			2			672	2	
1	27		cockroach			1			821	1	
1	28		pest			1			755	1	
1	29		beauty			2			836	2	
1	30		disgust			1			625	1	
1	31		garbage			1			663	1	
1	32		love			2			548	2	
2	1	C:\Hannah's FYP\White1_neu.jpg	disgust	2	forehead	1		211	749	1	0
2	2	C:\Hannah's FYP\Black8_neu.jpg	pest	1	forehead	1		111	2221	1	0
2	3	C:\Hannah's FYP\White10_neu.jpg	pest	2	forehead	1		211	721	1	0
2	4	C:\Hannah's FYP\White12_neu.jpg	success	2	forehead	2		212	708	2	0
2	5	C:\Hannah's FYP\Black23_neu.jpg	smile	1	forehead	2		112	797	2	0
2	6	C:\Hannah's FYP\White7_neu.jpg	success	2	forehead	2		212	661	2	0
2	7	C:\Hannah's FYP\Black3_neu.jpg	paradise	1	forehead	2		112	882	2	0
2	8	C:\Hannah's FYP\Black12_neu.jpg	poison	1	forehead	1		111	1215	1	0
2	9	C:\Hannah's FYP\Black7_neu.jpg	beauty	1	forehead	2		112	756	2	0
2	10	C:\Hannah's FYP\Black4_neu.jpg	despair	1	forehead	1		111	1309	1	0
2	11	C:\Hannah's FYP\Black2_neu.jpg	success	1	forehead	2		112	840	2	0
2	12	C:\Hannah's FYP\Black11_neu.jpg	garbage	1	forehead	1		111	998	1	0
2	13	C:\Hannah's FYP\White14_neu.jpg	sewage	2	forehead	1		211	931	1	0
2	14	C:\Hannah's FYP\White1_neu.jpg	smile	2	forehead	2		212	2150	2	0
2	15	C:\Hannah's FYP\White6_neu.jpg	pest	2	forehead	1		211	1004	1	0
2	16	C:\Hannah's FYP\Black3_neu.jpg	poison	1	forehead	1		111	1034	1	0
2	17	C:\Hannah's FYP\Black15_neu.jpg	vacation	1	forehead	2		112	1528	2	0
2	18	C:\Hannah's FYP\Black5_neu.jpg	despair	1	forehead	1		111	721	1	0
2	19	C:\Hannah's FYP\White9_neu.jpg	paradise	2	forehead	2		212	1820	2	0
