Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
1	1		despair			1			2147	1	
1	2		love			2			617	2	
1	3		garbage			1			840	1	
1	4		vomit			1			629	1	
1	5		success			2			588	2	
1	6		pest			1			644	1	
1	7		vomit			1			545	1	
1	8		cockroach			1			539	1	
1	9		vacation			2			605	2	
1	10		poison			1			605	1	
1	11		disgust			1			460	1	
1	12		vacation			2			562	2	
1	13		cockroach			1			475	1	
1	14		garbage			1			464	1	
1	15		romance			2			518	2	
1	16		disgust			1			409	1	
1	17		romance			2			585	2	
1	18		despair			1			496	1	
1	19		smile			2			461	2	
1	20		love			2			530	2	
1	21		joy			2			509	2	
1	22		joy			2			449	2	
1	23		beauty			2			503	2	
1	24		pest			1			571	1	
1	25		sewage			1			531	1	
1	26		smile			2			462	2	
1	27		success			2			484	2	
1	28		sewage			1			496	1	
1	29		beauty			2			460	2	
1	30		poison			1			610	1	
1	31		paradise			2			1065	2	
1	32		paradise			2			453	2	
2	1	C:\Hannah's FYP\White2_neu.jpg	garbage	2	forehead	1		211	2831	1	0
2	2	C:\Hannah's FYP\White17_neu.jpg	pest	2	forehead	1		211	136	1	0
2	3	C:\Hannah's FYP\White2_neu.jpg	poison	2	forehead	1		211	493	1	0
2	4	C:\Hannah's FYP\Black4_neu.jpg	despair	1	forehead	1		111	42	2	1
2	5	C:\Hannah's FYP\Black22_neu.jpg	beauty	1	forehead	2		112	281	1	1
2	6	C:\Hannah's FYP\Black12_neu.jpg	cockroach	1	forehead	1		111	343	1	0
2	7	C:\Hannah's FYP\Black14_neu.jpg	vacation	1	forehead	2		112	675	2	0
2	8	C:\Hannah's FYP\Black10_neu.jpg	vomit	1	forehead	1		111	297	1	0
2	9	C:\Hannah's FYP\White18_neu.jpg	romance	2	forehead	2		212	51	1	1
2	10	C:\Hannah's FYP\Black15_neu.jpg	sewage	1	forehead	1		111	219	1	0
2	11	C:\Hannah's FYP\White14_neu.jpg	garbage	2	forehead	1		211	16	1	0
2	12	C:\Hannah's FYP\White23_neu.jpg	vomit	2	forehead	1		211	229	1	0
2	13	C:\Hannah's FYP\White11_neu.jpg	disgust	2	forehead	1		211	342	2	1
2	14	C:\Hannah's FYP\White13_neu.jpg	success	2	forehead	2		212	218	1	1
2	15	C:\Hannah's FYP\White20_neu.jpg	beauty	2	forehead	2		212	255	1	1
2	16	C:\Hannah's FYP\Black23_neu.jpg	poison	1	forehead	1		111	212	1	0
2	17	C:\Hannah's FYP\Black8_neu.jpg	beauty	1	forehead	2		112	675	2	0
2	18	C:\Hannah's FYP\Black11_neu.jpg	beauty	1	forehead	2		112	456	2	0
2	19	C:\Hannah's FYP\Black7_neu.jpg	joy	1	forehead	2		112	189	1	1
2	20	C:\Hannah's FYP\Black24_neu.jpg	romance	1	forehead	2		112	484	2	0
2	21	C:\Hannah's FYP\White1_neu.jpg	paradise	2	forehead	2		212	4802	2	0
2	22	C:\Hannah's FYP\White7_neu.jpg	love	2	forehead	2		212	206	1	1
2	23	C:\Hannah's FYP\Black11_neu.jpg	disgust	1	forehead	1		111	200	1	0
2	24	C:\Hannah's FYP\White24_neu.jpg	beauty	2	forehead	2		212	273	1	1
2	25	C:\Hannah's FYP\Black21_neu.jpg	success	1	forehead	2		112	180	1	1
2	26	C:\Hannah's FYP\White13_neu.jpg	pest	2	forehead	1		211	583	1	0
2	27	C:\Hannah's FYP\Black24_neu.jpg	despair	1	forehead	1		111	182	1	0
2	28	C:\Hannah's FYP\Black21_neu.jpg	love	1	forehead	2		112	142	1	1
2	29	C:\Hannah's FYP\White13_neu.jpg	smile	2	forehead	2		212	66	1	1
2	30	C:\Hannah's FYP\Black1_neu.jpg	success	1	forehead	2		112	153	1	1
2	31	C:\Hannah's FYP\Black5_neu.jpg	sewage	1	forehead	1		111	1213	2	1
2	32	C:\Hannah's FYP\White8_neu.jpg	vomit	2	forehead	1		211	259	2	1
2	33	C:\Hannah's FYP\White18_neu.jpg	vomit	2	forehead	1		211	199	1	0
2	34	C:\Hannah's FYP\Black20_neu.jpg	pest	1	forehead	1		111	348	2	1
2	35	C:\Hannah's FYP\White17_neu.jpg	smile	2	forehead	2		212	176	1	1
2	36	C:\Hannah's FYP\White2_neu.jpg	success	2	forehead	2		212	451	2	0
2	37	C:\Hannah's FYP\White4_neu.jpg	joy	2	forehead	2		212	466	2	0
2	38	C:\Hannah's FYP\Black3_neu.jpg	romance	1	forehead	2		112	95	2	0
2	39	C:\Hannah's FYP\White18_neu.jpg	love	2	forehead	2		212	122	1	1
2	40	C:\Hannah's FYP\Black10_neu.jpg	joy	1	forehead	2		112	183	1	1
2	41	C:\Hannah's FYP\Black22_neu.jpg	sewage	1	forehead	1		111	927	1	0
2	42	C:\Hannah's FYP\White9_neu.jpg	paradise	2	forehead	2		212	186	2	0
2	43	C:\Hannah's FYP\Black2_neu.jpg	joy	1	forehead	2		112	348	2	0
2	44	C:\Hannah's FYP\White23_neu.jpg	joy	2	forehead	2		212	21	2	0
2	45	C:\Hannah's FYP\White8_neu.jpg	vacation	2	forehead	2		212	190	2	0
2	46	C:\Hannah's FYP\Black19_neu.jpg	paradise	1	forehead	2		112	232	2	0
2	47	C:\Hannah's FYP\White4_neu.jpg	romance	2	forehead	2		212	48	2	0
2	48	C:\Hannah's FYP\White11_neu.jpg	beauty	2	forehead	2		212	161	2	0
2	49	C:\Hannah's FYP\Black18_neu.jpg	love	1	forehead	2		112	333	1	1
2	50	C:\Hannah's FYP\White12_neu.jpg	vacation	2	forehead	2		212	281	1	1
2	51	C:\Hannah's FYP\Black14_neu.jpg	poison	1	forehead	1		111	615	1	0
2	52	C:\Hannah's FYP\Black12_neu.jpg	pest	1	forehead	1		111	384	2	1
2	53	C:\Hannah's FYP\Black13_neu.jpg	despair	1	forehead	1		111	177	1	0
2	54	C:\Hannah's FYP\White16_neu.jpg	romance	2	forehead	2		212	12	2	0
2	55	C:\Hannah's FYP\White21_neu.jpg	sewage	2	forehead	1		211	595	1	0
2	56	C:\Hannah's FYP\Black18_neu.jpg	smile	1	forehead	2		112	36	1	1
2	57	C:\Hannah's FYP\White16_neu.jpg	sewage	2	forehead	1		211	45	2	1
2	58	C:\Hannah's FYP\White20_neu.jpg	success	2	forehead	2		212	210	1	1
2	59	C:\Hannah's FYP\Black18_neu.jpg	disgust	1	forehead	1		111	147	1	0
2	60	C:\Hannah's FYP\Black18_neu.jpg	sewage	1	forehead	1		111	128	1	0
2	61	C:\Hannah's FYP\Black1_neu.jpg	disgust	1	forehead	1		111	29	1	0
2	62	C:\Hannah's FYP\Black6_neu.jpg	success	1	forehead	2		112	54	1	1
2	63	C:\Hannah's FYP\Black1_neu.jpg	cockroach	1	forehead	1		111	182	1	0
2	64	C:\Hannah's FYP\White3_neu.jpg	vacation	2	forehead	2		212	193	2	0
2	65	C:\Hannah's FYP\White10_neu.jpg	garbage	2	forehead	1		211	203	1	0
2	66	C:\Hannah's FYP\Black20_neu.jpg	joy	1	forehead	2		112	273	1	1
