Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
1	1		romance			2			1122	2	
1	2		sewage			1			635	1	
1	3		vomit			1			625	1	
1	4		pest			1			895	1	
1	5		vacation			2			762	2	
1	6		disgust			1			555	1	
1	7		sewage			1			628	1	
1	8		garbage			1			627	1	
1	9		vacation			2			618	2	
1	10		beauty			2			496	2	
1	11		success			2			524	2	
1	12		poison			1			631	1	
1	13		love			2			518	2	
1	14		pest			1			664	1	
1	15		paradise			2			710	2	
1	16		poison			1			537	1	
1	17		joy			2			451	2	
1	18		joy			2			616	1	
1	19		love			2			648	2	
1	20		cockroach			1			981	1	
1	21		smile			2			749	2	
1	22		vomit			1			606	1	
1	23		despair			1			670	1	
1	24		garbage			1			578	1	
1	25		despair			1			563	1	
1	26		disgust			1			516	1	
1	27		romance			2			544	2	
1	28		success			2			498	2	
1	29		beauty			2			518	2	
1	30		paradise			2			617	2	
1	31		cockroach			1			624	1	
1	32		smile			2			687	2	
2	1	C:\Hannah's FYP\White24_neu.jpg	sewage	2	forehead	1		211	715	1	0
2	2	C:\Hannah's FYP\Black6_neu.jpg	vomit	1	forehead	1		111	687	1	0
2	3	C:\Hannah's FYP\Black19_neu.jpg	vomit	1	forehead	1		111	588	1	0
2	4	C:\Hannah's FYP\Black7_neu.jpg	smile	1	forehead	2		112	586	2	0
2	5	C:\Hannah's FYP\Black2_neu.jpg	pest	1	forehead	1		111	604	1	0
2	6	C:\Hannah's FYP\White16_neu.jpg	garbage	2	forehead	1		211	564	1	0
2	7	C:\Hannah's FYP\White21_neu.jpg	vomit	2	forehead	1		211	467	1	0
2	8	C:\Hannah's FYP\White21_neu.jpg	pest	2	forehead	1		211	429	1	0
2	9	C:\Hannah's FYP\White23_neu.jpg	success	2	forehead	2		212	409	2	0
2	10	C:\Hannah's FYP\White8_neu.jpg	smile	2	forehead	2		212	402	2	0
2	11	C:\Hannah's FYP\White7_neu.jpg	beauty	2	forehead	2		212	483	2	0
2	12	C:\Hannah's FYP\White2_neu.jpg	paradise	2	forehead	2		212	457	2	0
2	13	C:\Hannah's FYP\Black18_neu.jpg	success	1	forehead	2		112	504	2	0
2	14	C:\Hannah's FYP\White5_neu.jpg	vomit	2	forehead	1		211	476	1	0
2	15	C:\Hannah's FYP\White23_neu.jpg	cockroach	2	forehead	1		211	486	1	0
2	16	C:\Hannah's FYP\White1_neu.jpg	cockroach	2	forehead	1		211	508	1	0
