Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
1	1		joy			2			1083	2	
1	2		cockroach			1			958	1	
1	3		love			2			550	2	
1	4		vacation			2			727	2	
1	5		vacation			2			514	2	
1	6		cockroach			1			525	1	
1	7		vomit			1			656	1	
1	8		despair			1			525	1	
1	9		beauty			2			544	2	
1	10		joy			2			482	2	
1	11		disgust			1			503	1	
1	12		paradise			2			675	2	
1	13		smile			2			1279	2	
1	14		despair			1			529	1	
1	15		romance			2			492	2	
1	16		vomit			1			513	1	
1	17		paradise			2			468	2	
1	18		disgust			1			441	1	
1	19		romance			2			431	2	
1	20		love			2			399	2	
1	21		poison			1			407	1	
1	22		beauty			2			463	2	
1	23		garbage			1			621	1	
1	24		sewage			1			563	1	
1	25		pest			1			565	1	
1	26		poison			1			550	1	
1	27		garbage			1			487	1	
1	28		smile			2			476	2	
1	29		sewage			1			545	1	
1	30		success			2			523	2	
1	31		success			2			486	2	
1	32		pest			1			466	1	
2	1	C:\Hannah's FYP\Black15_neu.jpg	despair	1	forehead	1		111	936	1	0
2	2	C:\Hannah's FYP\Black21_neu.jpg	disgust	1	forehead	1		111	455	1	0
2	3	C:\Hannah's FYP\White8_neu.jpg	beauty	2	forehead	2		212	550	2	0
2	4	C:\Hannah's FYP\White15_neu.jpg	joy	2	forehead	2		212	553	2	0
2	5	C:\Hannah's FYP\White11_neu.jpg	disgust	2	forehead	1		211	571	1	0
2	6	C:\Hannah's FYP\Black18_neu.jpg	pest	1	forehead	1		111	581	1	0
2	7	C:\Hannah's FYP\Black3_neu.jpg	beauty	1	forehead	2		112	637	2	0
2	8	C:\Hannah's FYP\White16_neu.jpg	beauty	2	forehead	2		212	452	2	0
2	9	C:\Hannah's FYP\White12_neu.jpg	vacation	2	forehead	2		212	579	2	0
2	10	C:\Hannah's FYP\White1_neu.jpg	paradise	2	forehead	2		212	573	2	0
2	11	C:\Hannah's FYP\Black10_neu.jpg	vomit	1	forehead	1		111	519	1	0
2	12	C:\Hannah's FYP\White10_neu.jpg	paradise	2	forehead	2		212	475	2	0
2	13	C:\Hannah's FYP\White9_neu.jpg	joy	2	forehead	2		212	489	2	0
2	14	C:\Hannah's FYP\White11_neu.jpg	poison	2	forehead	1		211	543	1	0
2	15	C:\Hannah's FYP\Black24_neu.jpg	poison	1	forehead	1		111	455	1	0
2	16	C:\Hannah's FYP\White2_neu.jpg	poison	2	forehead	1		211	638	1	0
2	17	C:\Hannah's FYP\Black2_neu.jpg	romance	1	forehead	2		112	573	2	0
2	18	C:\Hannah's FYP\Black17_neu.jpg	disgust	1	forehead	1		111	556	1	0
2	19	C:\Hannah's FYP\White1_neu.jpg	pest	2	forehead	1		211	527	1	0
2	20	C:\Hannah's FYP\Black6_neu.jpg	sewage	1	forehead	1		111	499	1	0
2	21	C:\Hannah's FYP\Black2_neu.jpg	garbage	1	forehead	1		111	488	1	0
2	22	C:\Hannah's FYP\White5_neu.jpg	sewage	2	forehead	1		211	469	1	0
2	23	C:\Hannah's FYP\White18_neu.jpg	pest	2	forehead	1		211	472	1	0
2	24	C:\Hannah's FYP\White4_neu.jpg	love	2	forehead	2		212	486	2	0
2	25	C:\Hannah's FYP\Black16_neu.jpg	disgust	1	forehead	1		111	475	1	0
2	26	C:\Hannah's FYP\Black19_neu.jpg	smile	1	forehead	2		112	473	2	0
2	27	C:\Hannah's FYP\Black20_neu.jpg	love	1	forehead	2		112	451	2	0
2	28	C:\Hannah's FYP\Black14_neu.jpg	beauty	1	forehead	2		112	498	2	0
2	29	C:\Hannah's FYP\Black10_neu.jpg	success	1	forehead	2		112	527	2	0
2	30	C:\Hannah's FYP\Black8_neu.jpg	pest	1	forehead	1		111	545	1	0
2	31	C:\Hannah's FYP\White20_neu.jpg	sewage	2	forehead	1		211	472	1	0
2	32	C:\Hannah's FYP\White5_neu.jpg	romance	2	forehead	2		212	439	2	0
2	33	C:\Hannah's FYP\White4_neu.jpg	cockroach	2	forehead	1		211	494	1	0
2	34	C:\Hannah's FYP\White3_neu.jpg	despair	2	forehead	1		211	555	1	0
2	35	C:\Hannah's FYP\White7_neu.jpg	paradise	2	forehead	2		212	558	2	0
2	36	C:\Hannah's FYP\Black14_neu.jpg	garbage	1	forehead	1		111	776	1	0
2	37	C:\Hannah's FYP\White13_neu.jpg	paradise	2	forehead	2		212	521	2	0
2	38	C:\Hannah's FYP\Black10_neu.jpg	smile	1	forehead	2		112	517	2	0
2	39	C:\Hannah's FYP\Black21_neu.jpg	joy	1	forehead	2		112	446	2	0
2	40	C:\Hannah's FYP\White20_neu.jpg	love	2	forehead	2		212	434	2	0
2	41	C:\Hannah's FYP\White9_neu.jpg	garbage	2	forehead	1		211	561	1	0
2	42	C:\Hannah's FYP\Black3_neu.jpg	vacation	1	forehead	2		112	490	2	0
2	43	C:\Hannah's FYP\White6_neu.jpg	disgust	2	forehead	1		211	464	1	0
2	44	C:\Hannah's FYP\Black19_neu.jpg	sewage	1	forehead	1		111	462	1	0
2	45	C:\Hannah's FYP\Black24_neu.jpg	despair	1	forehead	1		111	402	1	0
2	46	C:\Hannah's FYP\Black13_neu.jpg	romance	1	forehead	2		112	539	2	0
2	47	C:\Hannah's FYP\Black18_neu.jpg	vacation	1	forehead	2		112	470	2	0
2	48	C:\Hannah's FYP\Black6_neu.jpg	despair	1	forehead	1		111	540	1	0
2	49	C:\Hannah's FYP\Black11_neu.jpg	disgust	1	forehead	1		111	496	1	0
2	50	C:\Hannah's FYP\White24_neu.jpg	pest	2	forehead	1		211	461	1	0
2	51	C:\Hannah's FYP\White10_neu.jpg	despair	2	forehead	1		211	476	1	0
2	52	C:\Hannah's FYP\Black8_neu.jpg	garbage	1	forehead	1		111	512	1	0
2	53	C:\Hannah's FYP\White17_neu.jpg	disgust	2	forehead	1		211	468	1	0
2	54	C:\Hannah's FYP\White2_neu.jpg	disgust	2	forehead	1		211	490	1	0
