Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
1	1		cockroach			1			26777	1	
1	2		vacation			2			2014	2	
1	3		poison			1			10945	1	
1	4		vacation			2			1933	2	
1	5		sewage			1			9755	1	
1	6		love			2			771	2	
1	7		garbage			1			5938	1	
1	8		pest			1			6813	1	
1	9		beauty			2			778	2	
1	10		vomit			1			7058	1	
1	11		pest			1			7269	1	
1	12		disgust			1			1847	1	
1	13		despair			1			10889	1	
1	14		poison			1			2631	1	
1	15		paradise			2			1104	2	
1	16		sewage			1			11401	1	
1	17		vomit			1			9857	1	
1	18		romance			2			1028	2	
1	19		cockroach			1			1873	1	
1	20		joy			2			650	2	
1	21		smile			2			704	2	
1	22		joy			2			571	2	
1	23		despair			1			812	1	
1	24		disgust			1			626	1	
1	25		beauty			2			569	2	
1	26		love			2			665	2	
1	27		garbage			1			1182	1	
1	28		paradise			2			629	2	
1	29		success			2			956	2	
1	30		success			2			748	2	
1	31		romance			2			661	2	
1	32		smile			2			531	2	
2	1	C:\Hannah's FYP\Black13_neu.jpg	poison	1	forehead	1		111	4232	1	0
2	2	C:\Hannah's FYP\Black2_neu.jpg	romance	1	forehead	2		112	3741	2	0
2	3	C:\Hannah's FYP\White5_neu.jpg	love	2	forehead	2		212	2367	2	0
2	4	C:\Hannah's FYP\White9_neu.jpg	vacation	2	forehead	2		212	1004	2	0
2	5	C:\Hannah's FYP\Black16_neu.jpg	vomit	1	forehead	1		111	1059	1	0
2	6	C:\Hannah's FYP\White15_neu.jpg	joy	2	forehead	2		212	3071	2	0
2	7	C:\Hannah's FYP\Black4_neu.jpg	beauty	1	forehead	2		112	582	2	0
2	8	C:\Hannah's FYP\White16_neu.jpg	vomit	2	forehead	1		211	743	1	0
2	9	C:\Hannah's FYP\Black19_neu.jpg	joy	1	forehead	2		112	586	2	0
2	10	C:\Hannah's FYP\White13_neu.jpg	beauty	2	forehead	2		212	474	1	1
2	11	C:\Hannah's FYP\White3_neu.jpg	poison	2	forehead	1		211	375	2	1
2	12	C:\Hannah's FYP\White21_neu.jpg	love	2	forehead	2		212	1485	2	0
