"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"ID"	"race"	"fixation"
2	28	"C:\Hannah's FYP\Black21_neu.jpg"	"garbage"	1	"forehead"	1	NA	111	664	1	0	1	"Black"	"nose"
2	29	"C:\Hannah's FYP\White24_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	614	1	0	1	"White"	"nose"
2	30	"C:\Hannah's FYP\White1_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	790	1	0	1	"White"	"forehead"
2	31	"C:\Hannah's FYP\White5_neu.jpg"	"romance"	2	"forehead"	2	NA	212	606	2	0	1	"White"	"forehead"
2	32	"C:\Hannah's FYP\Black6_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	1399	1	0	1	"Black"	"forehead"
2	33	"C:\Hannah's FYP\White6_neu.jpg"	"love"	2	"forehead"	2	NA	212	669	2	0	1	"White"	"forehead"
2	34	"C:\Hannah's FYP\Black11_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	1627	1	0	1	"Black"	"eyes"
2	35	"C:\Hannah's FYP\White24_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	727	1	0	1	"White"	"nose"
2	36	"C:\Hannah's FYP\White22_neu.jpg"	"smile"	2	"forehead"	2	NA	212	547	2	0	1	"White"	"nose"
2	37	"C:\Hannah's FYP\White2_neu.jpg"	"smile"	2	"forehead"	2	NA	212	2069	2	0	1	"White"	"forehead"
2	38	"C:\Hannah's FYP\White18_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	868	1	0	1	"White"	"nose"
2	39	"C:\Hannah's FYP\Black12_neu.jpg"	"garbage"	1	"forehead"	1	NA	111	1441	1	0	1	"Black"	"eyes"
2	40	"C:\Hannah's FYP\Black23_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	619	1	0	1	"Black"	"nose"
2	41	"C:\Hannah's FYP\Black12_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	794	2	0	1	"Black"	"eyes"
2	42	"C:\Hannah's FYP\Black13_neu.jpg"	"vacation"	1	"forehead"	2	NA	112	602	2	0	1	"Black"	"eyes"
2	43	"C:\Hannah's FYP\White6_neu.jpg"	"despair"	2	"forehead"	1	NA	211	842	1	0	1	"White"	"forehead"
2	44	"C:\Hannah's FYP\White18_neu.jpg"	"romance"	2	"forehead"	2	NA	212	549	2	0	1	"White"	"nose"
2	45	"C:\Hannah's FYP\Black3_neu.jpg"	"smile"	1	"forehead"	2	NA	112	646	2	0	1	"Black"	"forehead"
2	46	"C:\Hannah's FYP\Black18_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	772	1	0	1	"Black"	"nose"
2	47	"C:\Hannah's FYP\White9_neu.jpg"	"success"	2	"forehead"	2	NA	212	869	2	0	1	"White"	"eyes"
2	48	"C:\Hannah's FYP\Black24_neu.jpg"	"love"	1	"forehead"	2	NA	112	487	2	0	1	"Black"	"nose"
2	49	"C:\Hannah's FYP\Black22_neu.jpg"	"romance"	1	"forehead"	2	NA	112	569	2	0	1	"Black"	"nose"
2	50	"C:\Hannah's FYP\Black13_neu.jpg"	"paradise"	1	"forehead"	2	NA	112	507	2	0	1	"Black"	"eyes"
2	51	"C:\Hannah's FYP\White13_neu.jpg"	"poison"	2	"forehead"	1	NA	211	816	1	0	1	"White"	"eyes"
2	52	"C:\Hannah's FYP\Black15_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	647	1	0	1	"Black"	"eyes"
2	53	"C:\Hannah's FYP\White10_neu.jpg"	"paradise"	2	"forehead"	2	NA	212	646	2	0	1	"White"	"eyes"
2	54	"C:\Hannah's FYP\Black12_neu.jpg"	"love"	1	"forehead"	2	NA	112	628	2	0	1	"Black"	"eyes"
2	55	"C:\Hannah's FYP\White20_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	720	2	0	1	"White"	"nose"
2	56	"C:\Hannah's FYP\White13_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	756	1	0	1	"White"	"eyes"
2	57	"C:\Hannah's FYP\White12_neu.jpg"	"smile"	2	"forehead"	2	NA	212	645	2	0	1	"White"	"eyes"
2	58	"C:\Hannah's FYP\White5_neu.jpg"	"paradise"	2	"forehead"	2	NA	212	572	2	0	1	"White"	"forehead"
2	59	"C:\Hannah's FYP\Black2_neu.jpg"	"despair"	1	"forehead"	1	NA	111	702	1	0	1	"Black"	"forehead"
2	60	"C:\Hannah's FYP\White2_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	778	1	0	1	"White"	"forehead"
2	61	"C:\Hannah's FYP\White9_neu.jpg"	"romance"	2	"forehead"	2	NA	212	635	2	0	1	"White"	"eyes"
2	62	"C:\Hannah's FYP\Black15_neu.jpg"	"garbage"	1	"forehead"	1	NA	111	730	1	0	1	"Black"	"eyes"
2	63	"C:\Hannah's FYP\Black18_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	613	1	0	1	"Black"	"nose"
2	64	"C:\Hannah's FYP\White16_neu.jpg"	"pest"	2	"forehead"	1	NA	211	629	1	0	1	"White"	"eyes"
2	65	"C:\Hannah's FYP\Black6_neu.jpg"	"despair"	1	"forehead"	1	NA	111	596	1	0	1	"Black"	"forehead"
2	66	"C:\Hannah's FYP\White4_neu.jpg"	"beauty"	2	"forehead"	2	NA	212	676	2	0	1	"White"	"forehead"
2	67	"C:\Hannah's FYP\White5_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	906	1	0	1	"White"	"forehead"
2	68	"C:\Hannah's FYP\Black7_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	603	1	0	1	"Black"	"forehead"
2	69	"C:\Hannah's FYP\White16_neu.jpg"	"success"	2	"forehead"	2	NA	212	683	2	0	1	"White"	"eyes"
2	70	"C:\Hannah's FYP\White21_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	757	1	0	1	"White"	"nose"
2	71	"C:\Hannah's FYP\Black6_neu.jpg"	"vacation"	1	"forehead"	2	NA	112	543	2	0	1	"Black"	"forehead"
2	72	"C:\Hannah's FYP\White23_neu.jpg"	"beauty"	2	"forehead"	2	NA	212	902	2	0	1	"White"	"nose"
2	73	"C:\Hannah's FYP\White7_neu.jpg"	"poison"	2	"forehead"	1	NA	211	618	1	0	1	"White"	"forehead"
2	74	"C:\Hannah's FYP\Black2_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	497	2	0	1	"Black"	"forehead"
2	75	"C:\Hannah's FYP\Black10_neu.jpg"	"smile"	1	"forehead"	2	NA	112	639	2	0	1	"Black"	"eyes"
2	76	"C:\Hannah's FYP\Black19_neu.jpg"	"romance"	1	"forehead"	2	NA	112	582	2	0	1	"Black"	"nose"
2	77	"C:\Hannah's FYP\Black4_neu.jpg"	"sewage"	1	"forehead"	1	NA	111	888	1	0	1	"Black"	"forehead"
2	78	"C:\Hannah's FYP\White10_neu.jpg"	"pest"	2	"forehead"	1	NA	211	868	1	0	1	"White"	"eyes"
2	79	"C:\Hannah's FYP\Black15_neu.jpg"	"joy"	1	"forehead"	2	NA	112	801	2	0	1	"Black"	"eyes"
2	80	"C:\Hannah's FYP\Black18_neu.jpg"	"paradise"	1	"forehead"	2	NA	112	1593	2	0	1	"Black"	"nose"
2	81	"C:\Hannah's FYP\Black24_neu.jpg"	"sewage"	1	"forehead"	1	NA	111	1004	1	0	1	"Black"	"nose"
2	82	"C:\Hannah's FYP\Black21_neu.jpg"	"paradise"	1	"forehead"	2	NA	112	1375	2	0	1	"Black"	"nose"
2	83	"C:\Hannah's FYP\Black1_neu.jpg"	"pest"	1	"forehead"	1	NA	111	799	1	0	1	"Black"	"forehead"
2	84	"C:\Hannah's FYP\White16_neu.jpg"	"despair"	2	"forehead"	1	NA	211	1295	1	0	1	"White"	"eyes"
2	85	"C:\Hannah's FYP\White17_neu.jpg"	"vomit"	2	"forehead"	1	NA	211	1858	1	0	1	"White"	"nose"
2	86	"C:\Hannah's FYP\Black14_neu.jpg"	"romance"	1	"forehead"	2	NA	112	861	2	0	1	"Black"	"eyes"
2	87	"C:\Hannah's FYP\White11_neu.jpg"	"love"	2	"forehead"	2	NA	212	698	2	0	1	"White"	"eyes"
2	88	"C:\Hannah's FYP\White6_neu.jpg"	"beauty"	2	"forehead"	2	NA	212	463	2	0	1	"White"	"forehead"
2	89	"C:\Hannah's FYP\Black12_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	998	1	0	1	"Black"	"eyes"
2	90	"C:\Hannah's FYP\White19_neu.jpg"	"love"	2	"forehead"	2	NA	212	747	2	0	1	"White"	"nose"
2	91	"C:\Hannah's FYP\White3_neu.jpg"	"success"	2	"forehead"	2	NA	212	1149	2	0	1	"White"	"forehead"
2	92	"C:\Hannah's FYP\Black20_neu.jpg"	"joy"	1	"forehead"	2	NA	112	610	2	0	1	"Black"	"nose"
2	93	"C:\Hannah's FYP\White12_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	738	1	0	1	"White"	"eyes"
2	94	"C:\Hannah's FYP\Black14_neu.jpg"	"sewage"	1	"forehead"	1	NA	111	652	1	0	1	"Black"	"eyes"
2	95	"C:\Hannah's FYP\Black22_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	592	1	0	1	"Black"	"nose"
2	96	"C:\Hannah's FYP\White12_neu.jpg"	"beauty"	2	"forehead"	2	NA	212	641	2	0	1	"White"	"eyes"
2	97	"C:\Hannah's FYP\White13_neu.jpg"	"paradise"	2	"forehead"	2	NA	212	640	2	0	1	"White"	"eyes"
2	98	"C:\Hannah's FYP\White8_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	1495	1	0	1	"White"	"forehead"
2	99	"C:\Hannah's FYP\Black23_neu.jpg"	"smile"	1	"forehead"	2	NA	112	502	2	0	1	"Black"	"nose"
